#time,accel_x,accel_y,accel_z
3573.011147,1915.238745,1628.453072,9178.553681
3573.011461,1608.800546,1924.535449,9400.615463
3573.011775,1608.800546,1998.556043,9030.512492
3573.012090,1532.190996,1480.411884,8660.409521
3573.012404,1149.143247,1332.370696,8586.388927
3573.012718,766.095498,888.247130,8660.409521
3573.013032,689.485948,296.082377,9104.533087
3573.013346,536.266849,-74.020594,9252.574275
3573.013660,229.828649,-740.205942,9474.636058
3573.013975,76.609550,-740.205942,9770.718434
3573.014289,0.000000,-740.205942,10288.862594
3573.014603,-306.438199,-592.164754,10066.800811
3573.014917,-536.266849,-370.102971,9992.780217
3573.015231,-383.047749,-0.000000,8956.491898
3573.015545,0.000000,592.164754,8512.368333
3573.015860,459.657299,-148.041188,8068.244768
3573.016174,153.219100,222.061783,8734.430116
3573.016488,0.000000,-296.082377,8808.450710
3573.016802,0.000000,-888.247130,9326.594869
3573.017116,-536.266849,-444.123565,9622.677246
3573.017430,-306.438199,-1036.288319,9918.759623
3573.017745,-383.047749,-962.267725,9918.759623
3573.018059,-383.047749,-1480.411884,10362.883188
3573.018373,-536.266849,-1036.288319,10362.883188
3573.018687,-306.438199,-814.226536,10066.800811
3573.019001,0.000000,-740.205942,9474.636058
3573.019315,0.000000,-444.123565,9030.512492
3573.019630,153.219100,-222.061783,9030.512492
3573.019944,612.876398,-296.082377,8882.471304
3573.020258,383.047749,-814.226536,9030.512492
3573.020572,766.095498,-962.267725,9548.656652
3573.020886,306.438199,-1036.288319,10066.800811
3573.021200,536.266849,-888.247130,9770.718434
3573.021515,536.266849,-518.144159,10066.800811
3573.021829,689.485948,-296.082377,9992.780217
3573.022143,383.047749,-148.041188,9696.697840
3573.022457,383.047749,-0.000000,9326.594869
3573.022771,229.828649,296.082377,8956.491898
3573.023085,766.095498,-74.020594,8808.450710
3573.023400,842.705048,296.082377,8660.409521
3573.023714,766.095498,592.164754,9178.553681
3573.024028,306.438199,-0.000000,9474.636058
3573.024342,306.438199,-0.000000,9548.656652
3573.024656,0.000000,296.082377,9770.718434
3573.024970,0.000000,444.123565,10066.800811
3573.025285,306.438199,888.247130,9326.594869
3573.025599,383.047749,1110.308913,9252.574275
3573.025913,229.828649,1184.329507,8956.491898
3573.026227,153.219100,1628.453072,8882.471304
3573.026541,689.485948,1036.288319,9030.512492
3573.026855,306.438199,1628.453072,9474.636058
3573.027170,383.047749,1406.391290,9918.759623
3573.027484,76.609550,888.247130,9696.697840
3573.027798,459.657299,814.226536,9622.677246
3573.028112,383.047749,1036.288319,9992.780217
3573.028426,306.438199,888.247130,9992.780217
3573.028740,306.438199,1110.308913,9696.697840
3573.029055,383.047749,1110.308913,9474.636058
3573.029369,842.705048,962.267725,10214.842000
3573.029683,229.828649,518.144159,9696.697840
3573.029997,-229.828649,740.205942,9918.759623
3573.030311,-229.828649,518.144159,10510.924376
3573.030625,-306.438199,222.061783,10362.883188
3573.030939,153.219100,-0.000000,10436.903782
3573.031254,229.828649,370.102971,10658.965565
3573.031568,0.000000,444.123565,10436.903782
3573.031882,229.828649,592.164754,10140.821405
3573.032196,-383.047749,666.185348,9992.780217
3573.032510,0.000000,666.185348,10288.862594
3573.032824,76.609550,518.144159,10214.842000
3573.033139,0.000000,-0.000000,10362.883188
3573.033453,-153.219100,296.082377,10140.821405
3573.033767,-459.657299,-148.041188,10214.842000
3573.034081,0.000000,-0.000000,10288.862594
3573.034395,0.000000,-74.020594,10288.862594
3573.034709,-306.438199,-74.020594,9770.718434
3573.035024,76.609550,-0.000000,9474.636058
3573.035338,153.219100,-0.000000,9548.656652
3573.035652,0.000000,-0.000000,9548.656652
3573.035966,306.438199,-148.041188,9252.574275
3573.036280,76.609550,-370.102971,9178.553681
3573.036594,0.000000,-296.082377,9030.512492
3573.036909,766.095498,-518.144159,8882.471304
3573.037223,76.609550,-222.061783,8882.471304
3573.037537,536.266849,-222.061783,8734.430116
3573.037851,383.047749,-74.020594,9104.533087
3573.038165,153.219100,-74.020594,8808.450710
3573.038479,0.000000,-444.123565,9104.533087
3573.038794,383.047749,-296.082377,9030.512492
3573.039108,306.438199,-296.082377,9030.512492
3573.039422,229.828649,-296.082377,8956.491898
3573.039736,0.000000,-296.082377,9178.553681
3573.040050,76.609550,-592.164754,9474.636058
3573.040364,0.000000,-222.061783,9104.533087
3573.040679,0.000000,-370.102971,8808.450710
3573.040993,306.438199,-370.102971,9178.553681
3573.041307,76.609550,-222.061783,9252.574275
3573.041621,0.000000,-444.123565,9474.636058
3573.041935,229.828649,-518.144159,9622.677246
3573.042249,229.828649,-370.102971,9548.656652
3573.042564,0.000000,-222.061783,9474.636058
3573.042878,0.000000,-296.082377,9622.677246
3573.043192,0.000000,-666.185348,9844.739029
3573.043506,229.828649,-296.082377,9770.718434
3573.043820,0.000000,-74.020594,10214.842000
3573.044134,0.000000,-222.061783,9622.677246
3573.044449,0.000000,-444.123565,9844.739029
3573.044763,0.000000,-518.144159,10066.800811
3573.045077,0.000000,-74.020594,10066.800811
3573.045391,-383.047749,-222.061783,10066.800811
3573.045705,-229.828649,-74.020594,9770.718434
3573.046019,0.000000,-0.000000,9844.739029
3573.046334,0.000000,-0.000000,9918.759623
3573.046648,306.438199,444.123565,10066.800811
3573.046962,0.000000,444.123565,9622.677246
3573.047276,-229.828649,518.144159,9918.759623
3573.047590,0.000000,444.123565,9770.718434
3573.047904,536.266849,444.123565,9918.759623
3573.048219,153.219100,740.205942,9474.636058
3573.048533,0.000000,666.185348,9622.677246
3573.048847,0.000000,666.185348,9696.697840
3573.049161,229.828649,740.205942,9622.677246
3573.049475,766.095498,962.267725,9474.636058
3573.049789,0.000000,666.185348,9548.656652
3573.050104,0.000000,444.123565,9400.615463
3573.050418,76.609550,814.226536,9326.594869
3573.050732,459.657299,962.267725,9326.594869
3573.051046,689.485948,1110.308913,9474.636058
3573.051360,536.266849,888.247130,9326.594869
3573.051674,153.219100,666.185348,9326.594869
3573.051989,306.438199,666.185348,9400.615463
3573.052303,153.219100,592.164754,9252.574275
3573.052617,153.219100,296.082377,9622.677246
3573.052931,383.047749,666.185348,9622.677246
3573.053245,459.657299,592.164754,9474.636058
3573.053559,229.828649,222.061783,9474.636058
3573.053873,153.219100,444.123565,9548.656652
3573.054187,306.438199,296.082377,9918.759623
3573.054502,76.609550,296.082377,10288.862594
3573.054816,306.438199,370.102971,9770.718434
3573.055130,306.438199,296.082377,9622.677246
3573.055444,383.047749,370.102971,9918.759623
3573.055758,153.219100,-74.020594,9992.780217
3573.056072,0.000000,-148.041188,10214.842000
3573.056386,0.000000,-444.123565,10288.862594
3573.056700,0.000000,-74.020594,9696.697840
3573.057014,306.438199,-370.102971,9474.636058
3573.057328,0.000000,-148.041188,9844.739029
3573.057642,0.000000,-518.144159,9844.739029
3573.057956,0.000000,-296.082377,9622.677246
3573.058270,0.000000,-296.082377,9474.636058
3573.058584,0.000000,-444.123565,9474.636058
3573.058898,0.000000,-74.020594,9918.759623
3573.059212,0.000000,-0.000000,9474.636058
3573.059527,0.000000,-518.144159,9474.636058
3573.059841,0.000000,-444.123565,9474.636058
3573.060155,76.609550,-0.000000,9696.697840
3573.060469,306.438199,-74.020594,9548.656652
3573.060783,153.219100,-74.020594,9252.574275
3573.061097,153.219100,-0.000000,9252.574275
3573.061411,0.000000,-74.020594,8882.471304
3573.061725,306.438199,-0.000000,9030.512492
3573.062039,153.219100,74.020594,9104.533087
3573.062353,0.000000,-370.102971,8956.491898
3573.062667,0.000000,-0.000000,9178.553681
3573.062981,76.609550,-0.000000,9030.512492
