#time,accel_x,accel_y,accel_z
4106.905932,-2298.286494,-814.226536,9992.780217
4106.906247,-2145.067394,-814.226536,9400.615463
4106.906562,-1991.848295,-518.144159,9326.594869
4106.906878,-1532.190996,-148.041188,9030.512492
4106.907193,-842.705048,-0.000000,8734.430116
4106.907508,-612.876398,-0.000000,8142.265362
4106.907824,-612.876398,296.082377,8586.388927
4106.908139,0.000000,518.144159,8660.409521
4106.908454,306.438199,444.123565,8586.388927
4106.908769,459.657299,296.082377,8364.327145
4106.909085,383.047749,148.041188,8660.409521
4106.909400,0.000000,-0.000000,9400.615463
4106.909715,-229.828649,-518.144159,8956.491898
4106.910030,-612.876398,-666.185348,9252.574275
4106.910346,-766.095498,-740.205942,9326.594869
4106.910661,-1225.752797,-1036.288319,8734.430116
4106.910976,-1378.971896,-1184.329507,8956.491898
4106.911291,-842.705048,-1628.453072,8882.471304
4106.911607,-842.705048,-1332.370696,8956.491898
4106.911922,-612.876398,-1110.308913,9104.533087
4106.912237,-536.266849,-814.226536,9400.615463
4106.912552,0.000000,-444.123565,8956.491898
4106.912868,459.657299,-74.020594,8512.368333
4106.913183,536.266849,-296.082377,8512.368333
4106.913498,459.657299,-0.000000,9104.533087
4106.913813,536.266849,296.082377,9474.636058
4106.914129,0.000000,-0.000000,9770.718434
4106.914444,0.000000,-148.041188,9918.759623
4106.914759,0.000000,-370.102971,10140.821405
4106.915074,0.000000,-444.123565,10214.842000
4106.915390,-383.047749,-592.164754,9770.718434
4106.915705,0.000000,-666.185348,9844.739029
4106.916020,-153.219100,-444.123565,9548.656652
4106.916335,0.000000,-148.041188,9474.636058
4106.916651,0.000000,-0.000000,9622.677246
4106.916966,0.000000,-0.000000,9474.636058
4106.917281,0.000000,222.061783,9474.636058
4106.917596,0.000000,370.102971,9474.636058
4106.917912,383.047749,444.123565,9474.636058
4106.918227,0.000000,518.144159,9474.636058
4106.918542,153.219100,370.102971,9696.697840
4106.918857,689.485948,592.164754,9548.656652
4106.919173,306.438199,1036.288319,9622.677246
4106.919488,306.438199,1480.411884,9400.615463
4106.919803,0.000000,1554.432478,9326.594869
4106.920118,0.000000,1406.391290,9474.636058
4106.920434,0.000000,1258.350101,9622.677246
4106.920749,-229.828649,1406.391290,9844.739029
4106.921064,-383.047749,1184.329507,9696.697840
4106.921379,-459.657299,740.205942,9622.677246
4106.921695,-459.657299,814.226536,9770.718434
4106.922010,-229.828649,592.164754,9770.718434
4106.922325,-383.047749,888.247130,9770.718434
4106.922640,229.828649,1628.453072,9992.780217
4106.922956,306.438199,1480.411884,9770.718434
4106.923271,689.485948,1406.391290,10214.842000
4106.923586,383.047749,1628.453072,9474.636058
4106.923901,919.314598,1332.370696,9400.615463
4106.924217,919.314598,1406.391290,10140.821405
4106.924532,919.314598,1332.370696,10140.821405
4106.924847,766.095498,814.226536,9992.780217
4106.925163,612.876398,740.205942,10066.800811
4106.925478,306.438199,444.123565,9844.739029
4106.925793,383.047749,666.185348,10066.800811
4106.926108,612.876398,444.123565,10066.800811
4106.926424,689.485948,370.102971,10214.842000
4106.926739,459.657299,-0.000000,9770.718434
4106.927054,459.657299,-0.000000,9770.718434
4106.927369,76.609550,-0.000000,9770.718434
4106.927685,306.438199,-296.082377,9992.780217
4106.928000,459.657299,222.061783,9918.759623
4106.928315,0.000000,-222.061783,9548.656652
4106.928630,612.876398,-370.102971,9548.656652
4106.928946,76.609550,-0.000000,10066.800811
4106.929261,459.657299,-444.123565,9844.739029
4106.929576,76.609550,-518.144159,9844.739029
4106.929891,153.219100,-148.041188,9770.718434
4106.930207,306.438199,-296.082377,9548.656652
4106.930522,0.000000,-444.123565,9474.636058
4106.930837,0.000000,-370.102971,9696.697840
4106.931152,0.000000,-666.185348,9770.718434
4106.931468,0.000000,-592.164754,9178.553681
4106.931783,-153.219100,-518.144159,9400.615463
4106.932098,0.000000,-444.123565,9178.553681
4106.932413,-383.047749,-740.205942,9326.594869
4106.932729,0.000000,-962.267725,9326.594869
4106.933044,0.000000,-740.205942,9104.533087
4106.933359,229.828649,-592.164754,9104.533087
4106.933674,153.219100,-518.144159,9178.553681
4106.933990,76.609550,-222.061783,9400.615463
4106.934305,153.219100,-222.061783,8882.471304
4106.934620,383.047749,-592.164754,8882.471304
4106.934935,459.657299,-518.144159,9400.615463
4106.935251,-689.485948,-296.082377,9178.553681
4106.935566,0.000000,-148.041188,9548.656652
4106.935881,153.219100,-296.082377,9252.574275
4106.936196,0.000000,-518.144159,9400.615463
4106.936512,0.000000,-518.144159,9474.636058
4106.936827,0.000000,-444.123565,9400.615463
4106.937142,-306.438199,-370.102971,9548.656652
4106.937457,-153.219100,-370.102971,9474.636058
4106.937773,0.000000,-222.061783,9548.656652
4106.938088,153.219100,-296.082377,9548.656652
4106.938403,153.219100,-0.000000,9844.739029
4106.938718,229.828649,-0.000000,9548.656652
4106.939034,76.609550,-0.000000,9474.636058
4106.939349,383.047749,-0.000000,9844.739029
4106.939664,383.047749,-0.000000,9844.739029
4106.939979,229.828649,-148.041188,9178.553681
4106.940295,306.438199,-0.000000,9844.739029
4106.940610,229.828649,-0.000000,9474.636058
4106.940925,153.219100,-0.000000,9548.656652
4106.941240,0.000000,222.061783,9548.656652
4106.941556,0.000000,-0.000000,9844.739029
4106.941871,0.000000,296.082377,9918.759623
4106.942186,229.828649,222.061783,9474.636058
4106.942502,76.609550,296.082377,10140.821405
4106.942817,-459.657299,222.061783,9770.718434
4106.943132,0.000000,666.185348,9770.718434
4106.943447,0.000000,592.164754,9770.718434
4106.943763,0.000000,740.205942,9696.697840
4106.944078,0.000000,1036.288319,10140.821405
4106.944393,0.000000,888.247130,9622.677246
4106.944708,383.047749,1036.288319,9992.780217
4106.945024,0.000000,1110.308913,9992.780217
4106.945339,76.609550,1036.288319,9548.656652
4106.945654,153.219100,1036.288319,10066.800811
4106.945969,383.047749,888.247130,10140.821405
4106.946285,0.000000,888.247130,9918.759623
