#time,accel_x,accel_y,accel_z
3715.731964,2145.067394,2294.638420,9474.636058
3715.732279,1991.848295,2220.617826,9400.615463
3715.732594,1685.410096,1924.535449,8956.491898
3715.732908,1685.410096,1406.391290,9474.636058
3715.733223,1302.362347,1110.308913,9326.594869
3715.733538,1072.533697,666.185348,9178.553681
3715.733852,919.314598,-0.000000,8882.471304
3715.734167,689.485948,-444.123565,9474.636058
3715.734481,383.047749,-814.226536,9622.677246
3715.734796,153.219100,-962.267725,9474.636058
3715.735111,-459.657299,-962.267725,9918.759623
3715.735425,-459.657299,-740.205942,9252.574275
3715.735740,-383.047749,-222.061783,9178.553681
3715.736054,76.609550,-0.000000,8586.388927
3715.736369,383.047749,-0.000000,8512.368333
3715.736684,459.657299,148.041188,8660.409521
3715.736998,689.485948,-0.000000,8438.347739
3715.737313,459.657299,-0.000000,8882.471304
3715.737628,76.609550,-0.000000,9622.677246
3715.737942,153.219100,-148.041188,10066.800811
3715.738257,-306.438199,-666.185348,9622.677246
3715.738571,-383.047749,-962.267725,9696.697840
3715.738886,-306.438199,-1406.391290,10584.944971
3715.739201,-536.266849,-1036.288319,10140.821405
3715.739515,-612.876398,-1110.308913,9992.780217
3715.739830,-229.828649,-962.267725,9474.636058
3715.740144,-306.438199,-666.185348,9030.512492
3715.740459,229.828649,-814.226536,8882.471304
3715.740774,919.314598,-814.226536,8808.450710
3715.741088,689.485948,-666.185348,8956.491898
3715.741403,766.095498,-888.247130,8808.450710
3715.741718,842.705048,-888.247130,9104.533087
3715.742032,766.095498,-888.247130,9474.636058
3715.742347,842.705048,-814.226536,9696.697840
3715.742661,536.266849,-592.164754,9844.739029
3715.742976,306.438199,-296.082377,9844.739029
3715.743291,536.266849,-296.082377,9696.697840
3715.743605,229.828649,-370.102971,9474.636058
3715.743920,229.828649,-296.082377,9252.574275
3715.744234,153.219100,-296.082377,9252.574275
3715.744549,383.047749,-0.000000,8586.388927
3715.744864,306.438199,-74.020594,8882.471304
3715.745178,229.828649,-222.061783,9400.615463
3715.745493,229.828649,-148.041188,9696.697840
3715.745808,306.438199,-0.000000,9178.553681
3715.746122,-229.828649,148.041188,9326.594869
3715.746437,0.000000,592.164754,9696.697840
3715.746751,0.000000,814.226536,9474.636058
3715.747066,0.000000,740.205942,9178.553681
3715.747381,229.828649,1036.288319,9104.533087
3715.747695,0.000000,814.226536,9104.533087
3715.748010,76.609550,1036.288319,9474.636058
3715.748324,306.438199,888.247130,9770.718434
3715.748639,76.609550,888.247130,10362.883188
3715.748954,383.047749,888.247130,9844.739029
3715.749268,0.000000,814.226536,9918.759623
3715.749583,0.000000,1110.308913,10362.883188
3715.749898,306.438199,1406.391290,10066.800811
3715.750212,536.266849,1406.391290,9622.677246
3715.750527,536.266849,1332.370696,9548.656652
3715.750841,459.657299,1184.329507,9474.636058
3715.751156,459.657299,962.267725,9622.677246
3715.751471,459.657299,962.267725,10140.821405
3715.751785,766.095498,666.185348,10510.924376
3715.752100,153.219100,222.061783,10288.862594
3715.752414,383.047749,740.205942,10510.924376
3715.752729,229.828649,518.144159,10362.883188
3715.753044,153.219100,888.247130,10362.883188
3715.753358,383.047749,962.267725,10510.924376
3715.753673,383.047749,1036.288319,10362.883188
3715.753988,536.266849,888.247130,10362.883188
3715.754302,153.219100,1036.288319,9474.636058
3715.754617,76.609550,370.102971,9474.636058
3715.754931,0.000000,296.082377,10288.862594
3715.755246,-459.657299,296.082377,10362.883188
3715.755561,-229.828649,296.082377,10362.883188
3715.755875,-229.828649,-0.000000,10288.862594
3715.756190,0.000000,148.041188,10214.842000
3715.756504,76.609550,296.082377,10140.821405
3715.756819,0.000000,370.102971,9326.594869
