#time,accel_x,accel_y,accel_z
3706.149433,2145.067394,1776.494261,9770.718434
3706.149748,1991.848295,1702.473667,9474.636058
3706.150062,1838.629195,1628.453072,9178.553681
3706.150377,1685.410096,1554.432478,9252.574275
3706.150691,1455.581446,962.267725,8660.409521
3706.151006,1455.581446,888.247130,9030.512492
3706.151320,919.314598,666.185348,9178.553681
3706.151635,689.485948,-74.020594,9252.574275
3706.151949,689.485948,-592.164754,9326.594869
3706.152264,536.266849,-518.144159,9548.656652
3706.152578,76.609550,-962.267725,9696.697840
3706.152893,306.438199,-444.123565,9622.677246
3706.153207,0.000000,370.102971,9030.512492
3706.153522,0.000000,444.123565,8512.368333
3706.153836,766.095498,888.247130,8512.368333
3706.154151,612.876398,222.061783,8216.285956
3706.154465,995.924147,-0.000000,8734.430116
3706.154780,536.266849,-148.041188,9030.512492
3706.155094,383.047749,-444.123565,9474.636058
3706.155409,-229.828649,-296.082377,9696.697840
3706.155723,0.000000,-370.102971,9992.780217
3706.156038,-383.047749,-740.205942,9770.718434
3706.156353,-459.657299,-814.226536,9770.718434
3706.156667,-306.438199,-814.226536,9992.780217
3706.156982,-306.438199,-592.164754,9474.636058
3706.157296,-153.219100,-518.144159,9474.636058
3706.157611,0.000000,-296.082377,8808.450710
3706.157925,0.000000,-222.061783,8734.430116
3706.158240,306.438199,-296.082377,8956.491898
3706.158554,306.438199,-592.164754,9178.553681
3706.158869,306.438199,-740.205942,10140.821405
3706.159183,306.438199,-814.226536,9622.677246
3706.159498,0.000000,-740.205942,9548.656652
3706.159812,0.000000,-444.123565,10140.821405
3706.160127,0.000000,-296.082377,9992.780217
3706.160441,153.219100,-444.123565,9770.718434
3706.160756,-229.828649,-222.061783,9622.677246
3706.161070,-612.876398,-518.144159,9474.636058
3706.161385,0.000000,-222.061783,9326.594869
3706.161699,0.000000,-222.061783,9474.636058
3706.162014,0.000000,-296.082377,9474.636058
3706.162328,76.609550,-370.102971,9326.594869
3706.162643,229.828649,-148.041188,9548.656652
3706.162957,-229.828649,-370.102971,9400.615463
3706.163272,76.609550,148.041188,9252.574275
3706.163586,76.609550,148.041188,9252.574275
3706.163901,612.876398,518.144159,9104.533087
